Laptop Name,Price,Rating,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Storage Type,Operating System,USB Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook  (14 Inch, Abyss Blue, 1.3 Kg)","₹12,990",3.8,"Laptop, Power Adaptor, User Guide, Warranty Documents",14M868,82XJ002LHA,14M868,Chromebook,Abyss Blue,Chromebook,Processing & Multitasking,No,AMD,MediaTek,MediaTek Kompanio 520,No,4 GB,LPDDR4X,128 GB,Kompanio 520,MediaTek Integrated ARM Mali-G52 2EE MC2,eMMC,Chrome,"1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.1a)",No,35.56 cm (14 Inch),1366 x 768 Pixel,"HD, TN 250nits Anti-glare, 45% NTSC",Yes,Yes,"Wi-Fi 6, 11ax 2x2",v5.1,325.9 x 221.8 x 18.6 mm,1.3 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",No,1 Year Carry-in Warranty,Carry-In,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Touch Chromebook MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook  (11.6 Inch, Black, 1.34 Kg)","₹10,900",3.3,"Laptop, Power Adaptor, User Guide, Warranty Documents",11MK G9,7D2W1PC#ACJ,11MK G9,Touch Chromebook,Black,Chromebook,Processing & Multitasking,No,Intel,MediaTek,MT8183,No,4 GB,LPDDR4X,32 GB,MediaTek Integrated ARM Mali G72 MP3 Graphics,eMMC,Chrome,"1 x USB 2.0 Type-A, 1 x SuperSpeed USB Type-C 5Gbps signaling rate",Yes,29.46 cm (11.6 Inch),1366 x 768 Pixel,"HD, touch, IPS, anti-glare, 220 nits, 50% NTSC",Yes,Yes,Qualcomm Atheros QCA6174A-5 802.11a/b/g/n/ac (2x2) Wi-Fi,v4.2,295 x 205.3 x 18.8 mm,1.34 Kg,Not Available,720p HD camera,"Spill resistant, full-size, Chrome keyboard with skirt anchored keycaps",1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","₹56,990",4.5,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-KG2IN / NP750XGJ-LG2IN,NP750XGJ-KG2IN,NP750XGJ-LG2IN,NP750XGJ-KG2IN / NP750XGJ-LG2IN,Galaxy Book4 Metal,Gray,Thin and Light Laptop,Processing & Multitasking,AMD,45W AC Adapter,4 Cell Lithium Ion Battery,Yes,Intel,Core i5,13th Gen,Yes,512 GB,16 GB,LPDDR4X,1335U,Max Frequency Up to 4.60 GHz,Intel Integrated Iris Xe,SSD,Windows 11 Home,Yes,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A","Yes, 1 x HDMI",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",Internal Digital MIC,802.11ax,v5.2,356.6 x 15.4 x 229.15mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",Yes,QWERTY,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,Onsite,Manufacturer Defect Only,Physical Damage,,,,,,,,,,,,,,,,,,,,,
"Lenovo MSO'2024 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop  (15.6 Inch, Cloud Grey, 1.61 Kg, With MS Office)","₹38,490",4.2,"Laptop, Power Adaptor, User Guide, Warranty Documents",15ALC7,82R4010DIN,15ALC7,MSO'2024,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,5625U,Up to 4.3 GHz,AMD Radeon AMD,SSD,Windows 11 Home,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD IPS 250nits Anti-glare,Yes,Yes,"Wi-Fi 6, 802.11ax 2x2",v5.2,360.2 x 236 x 17.9 mm,1.61 Kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ993WS Thin and Light Laptop  (15.6 Inch, Icelight Silver, 1.70 Kg, With MS Office)","₹36,990",4.3,"Laptop, Power Adapter, Warranty Documents, User Manual",X1502ZA-EJ993WS,90NB0VX2-M02HB0,X1502ZA-EJ993WS,Vivobook 15,Icelight Silver,Thin and Light Laptop,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",Yes,Intel,Intel,Core i3,12th Gen,Yes,512 GB,16 GB,DDR4,1215U,Max turbo frequency at 4.4 Ghz,Intel Integrated UHD,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 220nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",Yes,Yes,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.3,359.7 x 232.5 x 19.9 mm,1.70 Kg,Not Available,720p HD camera With privacy shutter,Yes,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defect,Physical Damage,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0505TU Chromebook  (14 Inch, Ceramic White, 1.49 Kg)","₹15,990",3.9,"Laptop, Power Adaptor, User Guide, Warranty Documents",14a-ca0505TU,678M7PA#ACJ,14a-ca0505TU,Chromebook,Ceramic White,Chromebook,Processing & Multitasking,2,Intel,No,Intel,Celeron Dual Core,No,4 GB,LPDDR4,64 GB,N4020,2.8,2400 MHz,4,Intel Integrated UHD Graphics,2,eMMC,64 bit,Chrome,Chrome 64,64,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate,(USB Power Delivery, DisplayPort 1.2) 1 x SuperSpeed USB Type-A 5Gbps signaling rate",Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,"Full-size, jet black keyboard",HP Imagepad with multi-touch gesture support,47 Wh Li-ion polymer,1 Year onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,
"Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)","₹43,990",4.3,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.004,A324-51,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,65 W,AMD,2 cell,No,Intel,Core i7,12th Gen,Yes,512 GB,16 GB,DDR4,1255U,Max turbo frequency at 4.7 Ghz,Intel Integrated Iris Xe,SSD,64 bit,Windows 11 Home,1x HDMI Port,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,Yes,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,No,No,84-key Acer backlit keyboard layout with US language,Yes,Touchpad,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,,,,,,,
"ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ321WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.63 Kg, With MS Office)","₹29,990",4.2,"Laptop, battery, power adapter, user guide",E1504FA-NJ321WS,90NB0ZR1-M00AE0,E1504FA-NJ321WS,Vivobook Go 15,Cool Silver,Thin and Light Laptop,Processing & Multitasking,3 cell,AMD,Yes,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,LPDDR5,7320U,2.4 GHz upto max turbo frequency at 4.1 Ghz,NA,AMD Radeon AMD,1 TB,SSD,Windows 11 Home,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",1 x HDMI 1.4,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",Built-in Speakers,Yes,Wi-Fi 6E(802.11ax) (Dual band) 1*1,v5.0,1.63 Kg,Not Available,720p HD camera With privacy shutter,Chiclet Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,
"Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 kg)","₹39,990",4,"Laptop, Power Adaptor, User Guide, Warranty Documents",AL15-41,UN.31ZSI.006,AL15-41,Aspire Lite,Steel Grey,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking, Everyday Use",Upto 7 Hours,Intel,45W AC Adapter,3 Cell,No,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,5700U,2,32 GB,3200 MHz,AMD Radeon AMD,8,SSD,64 bit,Windows 11 Home,Windows 11,Yes,Yes,"1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)",1 x HDMI Output Port (with HDCP) V1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, High Brightness TFT LCD, 16:9 Aspect Ratio, Ultra Slim Design, Mercury Free, Environment Friendly",Dual Built-in Stereo Speakers,Built-in Array Microphone with Noise Cancellation Features,"High Definition Audio, High Fidelity Original Recording",Wi-Fi 5,v5.1,Gigabit Ethernet (RJ 45),360.40 x 239.30 x 19.7 mm,1.59 kg,Not Available,"HD Webcam with 1280 x 720 Resolution, 720p HD Audio/Video Recording","Supervisor/ HDD Passwords, Kensington Lock Slot","Firmware Trusted Platform Module (TPM) Solution, BIOS User","100-/101-/104-Key Keyboard with Independent Numeric Keypad, International Language Support","Multi Gesture Touchpad, Built in Clickpad with Microsoft PTP Multi Gesture and Scrolling Function","36 Whr, Indicators: Power/Suspend, Caps Lock, Num Lock, HD Camera",1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,,,,,,,,,,
"Lenovo V 14 (2025) Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Light Laptop  (14 inch, Iron Gray, 1.5 kg, With MS Office)","₹38,990",5,"Laptop, Power Adaptor, User Guide, Warranty Documents",V 14,V 14,V 14,V 14 (2025),Iron Gray,Thin and Light Laptop,"Travel & Business, Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance",Upto 6 hours,Intel,65 W AC Adapter,2 Cell,Yes,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,1235U,4.4 GHz Max Turbo Frequency,2,16,3200 MHz,12 MB,7200,Intel Integrated UHD Graphics,10,1 TB,SSD,64 bit,Windows 11 Home,"Windows 11 Home, Windows 11 Pro",64 bit,Yes,"1 x USB 2.0, 1 x USB 3.1 Gen1, 1 x Type C",1 x HDMI 1.4b,PCIe NVMe M.2,No,35.56 cm (14 inch),1920 x 1080 pixel,Full HD Anti-glare Display,2 x 1.5W stereo speakers,Built-in Dual Array Microphone,Dolby Audio,300 Nits,Wi-Fi 6 2x2 AX,v5.1,No,Wi-Fi 6 2x2 AX,323 x 221 x 21,1.5 kg,Not Available,720p HD camera,Kensington Lock Slot,Chiclet Keyboard,No,Touchpad with Multi-touch Gesture Support,"Microsoft Office 2021, Windows 11 Home",No,"14-inch Full HD (1920x1080) display, providing good resolution for day-to-day tasks., Thin and lightweight design, making it portable and easy to carry around., Anti-glare screen to reduce reflections for better visibility in different lighting conditions., Precision touchpad for smooth navigation and multitouch gestures., Multiple USB ports, including USB 3.0 and USB 2.0, along with HDMI, for connecting to external monitors or projectors., Stereo speakers and HD camera, suitable for virtual meetings or online classes.",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,12 Months
